geminus, -a, -um	twin, double, two
genitor, -oris, m.	begetter, father, sire
gens, gentis, f.	clan, race, nation, herd
genus, generis, n.	birth
habeo, -ēre, -ui, -itus	have, hold; consider
haud	not, by no means, not at all
heu	alas, ah, ah me
hīc	here, there, hereupon
hinc	from this place, hence, thence
honōs (honor), -oris, m.	honor, glory, reward; offering, sacrifice; charm, grace
hūc	to this place, hither, here
idem, eadem, idem	same, the same
ignis, -is, m.	fire, flame, light, lightning, star; passion, love, fury, wrath
ille, illa, illud	that (famous); he, she, it
immanis, -is, -e	huge, monstrous, enormous, mighty, dreadful, cruel, atrocious
imperium, -i, n.	command, power, dominion, rule, sway, mastery, realm(s)
in	in, on, in the case of, among; into, against, until, toward
infelix, -icis	unfortunate, accursed, unhappy, ill-omened, unlucky, wretched
inferus, -a, -um	low, below, underneath
ingens, -entis	enormous, mighty, huge
inter	between, among, during
ipse, ipsa, ipsum	(him, her, it)self; very
ira, -ae, f.	wrath, rage, anger, passion
is, ea, id	this, that; he, she, it
Italia, -ae, f.	Italy
