vastus, -a, -um	desolate, vast, enormous
vates, -is, m. (f.)	prophet, seer, bard
-ve, vel	or, either, even
vel...vel	either...or
velum, -i, n.	cloth, canvas, sail
venio, venire, veni, ventus	come, go
ventus, -i, m.	wind, breeze, blast, air
via, -ae, f.	way, road, journey, street
victor, -oris, m.	victor, victorious
video, vidēre, vidi, visus	see, perceive; (passive) be seen appear, seem
vinco, vincere, vici, victus	conquer, surpass
vir, -i, m.	(real) man; hero; husband
vis, vis, f.	force, violence, energy
vita, -ae, f.	life, soul, spirit
vix	scarcely, feebly, with difficulty
voco, -are, -avi, -atus	call, name, address, convoke, invoke, invite, challenge
volo, velle, volui	will, wish, be willing
volvo, volvere, volvi, volutus	revolve, (un)roll, roll (round, through); undergo
vox, vocis, f.	voice, word, speech, sound
