la famiglia	family
il/la bambino/a	child; baby
il cognome	last name, surname
il/la compagno/a	partner
la coppia	couple
il fratellino	little/younger brother
i/le gemelli/e	twins
il/la nipote	nephew/niece; grandson/granddaughter
i parenti	relatives
il/la ragazzo/a	boy/girl; boyfriend/girlfriend
la sorellina	little/younger sister
maggiore	older
minore	younger
i parenti acquisiti	in-laws
il/la cognato/a	brother-/sister-in-law
il genero	son-in-law
la nuora	daughter-in-law
il/la suocero/a	father-/mother-in-law
l'animale domestico	pet
il canarino	canary
il coniglio	rabbit
il criceto	hamster
il gatto	cat
il pesce	fish
lo stato civile	marital status
la convivenza	living together
divorziato/a	divorced
fidanzato/a	engaged
il matrimonio	wedding; marriage
separato/a	separated
single	single
sposato/a	married
vedovo/a	widowed
il/la nonno/a	grandfather/grandmother
il padre	father
la madre	mother
il/la fratello/a	brother/sister
il/la figlio/a	son/daughter
lo/la zio/a	uncle/aunt
il/la cugino/a	cousin
il marito	husband
la moglie	wife
più giovane	youngest
piccolino	youngest
